Rank,Movie,Gross,Year
124,Interstellar,"$701,729,206",2014
125,The Wandering Earth,"$699,992,512",2019
126,The Twilight Saga: Eclipse,"$698,491,347",2010
127,F9: The Fast Saga,"$696,409,435",2021
128,Mission: Impossible - Ghost Protocol,"$694,713,380",2011
129,The Hunger Games,"$694,394,724",2012
130,Detective Chinatown 3,"$686,257,563",2021
131,Mission: Impossible - Rogue Nation,"$682,716,636",2015
132,Forrest Gump,"$678,226,133",1994
133,Doctor Strange,"$677,796,076",2016
134,The Sixth Sense,"$672,806,432",1999
135,Man of Steel,"$668,045,518",2013
136,Ice Age: The Meltdown,"$667,094,506",2006
137,Kung Fu Panda 2,"$665,692,281",2011
138,The Hunger Games: Mockingjay - Part 2,"$658,344,137",2015
139,Justice League,"$657,926,987",2017
140,Big Hero 6,"$657,869,686",2014
141,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901",2018
142,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015",2003
143,Star Wars: Episode II - Attack of the Clones,"$653,779,970",2002
144,Thor: The Dark World,"$644,783,140",2013
145,Moana,"$643,927,533",2016
146,Sing,"$634,208,384",2016
147,Kung Fu Panda,"$631,746,197",2008
148,The Incredibles,"$631,607,053",2004
149,The Martian,"$630,162,448",2015
150,Hancock,"$629,443,428",2008
151,Fast Five,"$626,137,675",2011
152,Men in Black 3,"$624,026,776",2012
153,Iron Man 2,"$623,933,331",2010
154,Ratatouille,"$623,726,085",2007
155,Ant-Man and the Wasp,"$622,674,139",2018
156,How to Train Your Dragon 2,"$621,537,519",2014
157,Logan,"$619,179,950",2017
158,The Lost World: Jurassic Park,"$618,638,999",1997
159,Casino Royale,"$616,502,912",2006
160,The Passion of the Christ,"$612,054,506",2004
161,Mamma Mia!,"$611,257,819",2008
162,Life of Pi,"$609,016,565",2012
163,Transformers: The Last Knight,"$605,425,157",2017
164,Madagascar: Escape 2 Africa,"$603,900,354",2008
165,War of the Worlds,"$603,873,119",2005
166,Tangled,"$592,462,816",2010
167,Quantum of Solace,"$589,580,482",2008
168,Men in Black,"$589,390,539",1997
169,The Croods,"$587,205,319",2013
170,The Hangover Part II,"$586,764,305",2011
171,Iron Man,"$585,796,247",2008
172,I Am Legend,"$585,410,052",2007
173,Ready Player One,"$582,893,671",2018
174,"Monsters, Inc.","$579,707,738",2001
175,Operation Red Sea,"$579,330,426",2018
176,Night at the Museum,"$574,481,229",2006
177,Fifty Shades of Grey,"$569,651,467",2015
178,Kong: Skull Island,"$566,652,812",2017
179,The Smurfs,"$563,749,323",2011
180,King Kong,"$562,363,449",2005
181,Cars 2,"$559,852,396",2011
182,Puss in Boots,"$554,987,477",2011
183,Mei ren yu,"$553,810,228",2016
184,Armageddon,"$553,709,788",1998
185,The Day After Tomorrow,"$552,639,571",2004
186,Ted,"$549,368,315",2012
